F10,Ap,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
66.0,10.333333,-0.007330179214477539,0.0930127426981926,-0.04788898304104805,-0.015708984807133675,-0.09440942853689194,0.07802737504243851,0.03772960975766182,0.048175957053899765,-0.04383896663784981,0.14906366169452667
66.0,10.5,0.005217405501753092,0.12365429103374481,0.00888938456773758,-0.03750595077872276,-0.03640308976173401,0.14949549734592438,0.0004012355348095298,0.08867236971855164,-0.02074393443763256,0.11806444823741913
66.0,10.666667,-0.01621275208890438,0.13435764610767365,0.009591998532414436,-0.013119613751769066,-0.009087508544325829,0.1349881887435913,-0.03374866023659706,0.08621171116828918,-0.023186463862657547,0.12560686469078064
66.0,10.833333,0.010997466742992401,0.10916690528392792,0.007675508968532085,-0.04856549948453903,-0.06138421222567558,0.10416890680789948,-0.016704291105270386,0.03871985897421837,-0.026268448680639267,0.15098150074481964
66.0,11.0,0.016654327511787415,0.15376684069633484,-0.0005123872542753816,-0.04329944774508476,-0.014083574526011944,0.12229053676128387,-0.005352250300347805,0.10384248942136765,-0.006608305498957634,0.13488328456878662
66.0,11.166667,0.0288399551063776,0.10072609037160873,-0.03293473273515701,-0.049563102424144745,-0.055422935634851456,0.13631485402584076,-0.012678515166044235,0.07197737693786621,-0.025947682559490204,0.13819509744644165
66.0,11.5,0.002491783583536744,0.13633212447166443,0.009357297793030739,-0.031046338379383087,-0.03857310488820076,0.1435503512620926,0.007266988977789879,0.08767172694206238,-0.027260230854153633,0.11064310371875763
66.0,12.0,0.020304076373577118,0.14113084971904755,-0.0034910498652607203,-0.047480933368206024,-0.033292874693870544,0.12521448731422424,0.003329294500872493,0.09932103753089905,-0.016574837267398834,0.13151110708713531
66.0,12.5,0.016089841723442078,0.1353040486574173,-0.017356203868985176,-0.03779999166727066,-0.03330913186073303,0.1408359557390213,0.013741317205131054,0.10327835381031036,-0.014152499847114086,0.11393912881612778
66.0,12.833333,-0.07847170531749725,0.13097697496414185,-0.06168364733457565,0.05665501952171326,-0.02978350594639778,0.15483179688453674,0.014264686033129692,0.12477070093154907,-0.02134004421532154,0.027519095689058304
66.0,13.0,0.04110945761203766,0.1317175179719925,0.004374022129923105,-0.06701113283634186,-0.06650836020708084,0.0980011522769928,0.024557506665587425,0.08209935575723648,0.0059929280541837215,0.14865657687187195
66.0,13.166667,0.0048652952536940575,0.14488892257213593,0.0252288319170475,-0.013231792487204075,-0.03111993335187435,0.1353965848684311,0.004563878756016493,0.09492306411266327,-0.014473380520939827,0.1454455852508545
66.0,13.333333,-0.011539405211806297,0.1194470152258873,-0.023650838062167168,0.002376565709710121,-0.0065275393426418304,0.22388330101966858,-0.04672518000006676,0.09294562041759491,-0.009359301067888737,0.056308574974536896
